Sample	 Entries 	 SumofLHEWeights 	 SumofGENWeights
NMSSM-XtoYHto4B_Par-MX-650-MY-150_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.56256e+15 	2.56256e+15
NMSSM-XtoYHto4B_Par-MX-650-MY-200_TuneCP5_13p6TeV_madgraph-pythia8	95000	2.3134e+15 	2.3134e+15
NMSSM-XtoYHto4B_Par-MX-650-MY-300_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.06275e+15 	2.06275e+15
NMSSM-XtoYHto4B_Par-MX-650-MY-400_TuneCP5_13p6TeV_madgraph-pythia8	95000	1.43638e+15 	1.43638e+15
NMSSM-XtoYHto4B_Par-MX-650-MY-500_TuneCP5_13p6TeV_madgraph-pythia8	100000	6.35105e+14 	6.35105e+14
NMSSM-XtoYHto4B_Par-MX-700-MY-60_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.04499e+15 	2.04499e+15
NMSSM-XtoYHto4B_Par-MX-700-MY-70_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.039e+15 	2.039e+15
NMSSM-XtoYHto4B_Par-MX-700-MY-80_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.03184e+15 	2.03184e+15
NMSSM-XtoYHto4B_Par-MX-700-MY-90_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.02376e+15 	2.02376e+15
NMSSM-XtoYHto4B_Par-MX-700-MY-95_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.01965e+15 	2.01965e+15
NMSSM-XtoYHto4B_Par-MX-700-MY-100_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.01548e+15 	2.01548e+15
NMSSM-XtoYHto4B_Par-MX-700-MY-125_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-700-MY-150_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-700-MY-200_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.87543e+15 	1.87543e+15
NMSSM-XtoYHto4B_Par-MX-700-MY-300_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.63856e+15 	1.63856e+15
NMSSM-XtoYHto4B_Par-MX-700-MY-400_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.29521e+15 	1.29521e+15
NMSSM-XtoYHto4B_Par-MX-700-MY-500_TuneCP5_13p6TeV_madgraph-pythia8	95000	7.69204e+14 	7.69204e+14
NMSSM-XtoYHto4B_Par-MX-800-MY-60_TuneCP5_13p6TeV_madgraph-pythia8	99000	1.20321e+15 	1.20321e+15
NMSSM-XtoYHto4B_Par-MX-800-MY-70_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.21298e+15 	1.21298e+15
NMSSM-XtoYHto4B_Par-MX-800-MY-80_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.21005e+15 	1.21005e+15
NMSSM-XtoYHto4B_Par-MX-800-MY-90_TuneCP5_13p6TeV_madgraph-pythia8	95000	1.14638e+15 	1.14638e+15
NMSSM-XtoYHto4B_Par-MX-800-MY-95_TuneCP5_13p6TeV_madgraph-pythia8	99000	1.19282e+15 	1.19282e+15
NMSSM-XtoYHto4B_Par-MX-800-MY-100_TuneCP5_13p6TeV_madgraph-pythia8	98000	1.17839e+15 	1.17839e+15
NMSSM-XtoYHto4B_Par-MX-800-MY-125_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-800-MY-150_TuneCP5_13p6TeV_madgraph-pythia8	97000	1.14096e+15 	1.14096e+15
NMSSM-XtoYHto4B_Par-MX-800-MY-200_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.14074e+15 	1.14074e+15
NMSSM-XtoYHto4B_Par-MX-800-MY-300_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-800-MY-400_TuneCP5_13p6TeV_madgraph-pythia8	100000	8.88468e+14 	8.88468e+14
NMSSM-XtoYHto4B_Par-MX-800-MY-500_TuneCP5_13p6TeV_madgraph-pythia8	100000	6.91235e+14 	6.91235e+14
NMSSM-XtoYHto4B_Par-MX-800-MY-600_TuneCP5_13p6TeV_madgraph-pythia8	97000	4.13636e+14 	4.13636e+14
NMSSM-XtoYHto4B_Par-MX-900-MY-60_TuneCP5_13p6TeV_madgraph-pythia8	99000	7.44474e+14 	7.44474e+14
NMSSM-XtoYHto4B_Par-MX-900-MY-70_TuneCP5_13p6TeV_madgraph-pythia8	98000	7.35953e+14 	7.35953e+14
NMSSM-XtoYHto4B_Par-MX-900-MY-80_TuneCP5_13p6TeV_madgraph-pythia8	99000	7.4184e+14 	7.4184e+14
NMSSM-XtoYHto4B_Par-MX-900-MY-90_TuneCP5_13p6TeV_madgraph-pythia8	96000	7.17792e+14 	7.17792e+14
NMSSM-XtoYHto4B_Par-MX-900-MY-95_TuneCP5_13p6TeV_madgraph-pythia8	99000	7.3913e+14 	7.3913e+14
NMSSM-XtoYHto4B_Par-MX-900-MY-100_TuneCP5_13p6TeV_madgraph-pythia8	96000	7.15994e+14 	7.15994e+14
NMSSM-XtoYHto4B_Par-MX-900-MY-125_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-900-MY-150_TuneCP5_13p6TeV_madgraph-pythia8	99000	7.26165e+14 	7.26165e+14
NMSSM-XtoYHto4B_Par-MX-900-MY-200_TuneCP5_13p6TeV_madgraph-pythia8	100000	7.16116e+14 	7.16116e+14
NMSSM-XtoYHto4B_Par-MX-900-MY-300_TuneCP5_13p6TeV_madgraph-pythia8	96000	6.39634e+14 	6.39634e+14
NMSSM-XtoYHto4B_Par-MX-900-MY-400_TuneCP5_13p6TeV_madgraph-pythia8	100000	5.95833e+14 	5.95833e+14
NMSSM-XtoYHto4B_Par-MX-900-MY-500_TuneCP5_13p6TeV_madgraph-pythia8	100000	5.03974e+14 	5.03974e+14
NMSSM-XtoYHto4B_Par-MX-900-MY-600_TuneCP5_13p6TeV_madgraph-pythia8	95000	3.68458e+14 	3.68458e+14
NMSSM-XtoYHto4B_Par-MX-1000-MY-60_TuneCP5_13p6TeV_madgraph-pythia8	100000	4.80938e+14 	4.80938e+14
NMSSM-XtoYHto4B_Par-MX-1000-MY-70_TuneCP5_13p6TeV_madgraph-pythia8	100000	4.80086e+14 	4.80086e+14
NMSSM-XtoYHto4B_Par-MX-1000-MY-80_TuneCP5_13p6TeV_madgraph-pythia8	100000	4.79415e+14 	4.79415e+14
NMSSM-XtoYHto4B_Par-MX-1000-MY-90_TuneCP5_13p6TeV_madgraph-pythia8	98000	4.68921e+14 	4.68921e+14
NMSSM-XtoYHto4B_Par-MX-1000-MY-95_TuneCP5_13p6TeV_madgraph-pythia8	100000	4.78101e+14 	4.78101e+14
NMSSM-XtoYHto4B_Par-MX-1000-MY-100_TuneCP5_13p6TeV_madgraph-pythia8	98000	4.68063e+14 	4.68063e+14
NMSSM-XtoYHto4B_Par-MX-1000-MY-125_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-1000-MY-150_TuneCP5_13p6TeV_madgraph-pythia8	100000	4.71105e+14 	4.71105e+14
NMSSM-XtoYHto4B_Par-MX-1000-MY-200_TuneCP5_13p6TeV_madgraph-pythia8	100000	4.62334e+14 	4.62334e+14
NMSSM-XtoYHto4B_Par-MX-1000-MY-300_TuneCP5_13p6TeV_madgraph-pythia8	97000	4.23872e+14 	4.23872e+14
NMSSM-XtoYHto4B_Par-MX-1000-MY-400_TuneCP5_13p6TeV_madgraph-pythia8	97000	3.89178e+14 	3.89178e+14
NMSSM-XtoYHto4B_Par-MX-1000-MY-500_TuneCP5_13p6TeV_madgraph-pythia8	95000	3.36923e+14 	3.36923e+14
NMSSM-XtoYHto4B_Par-MX-1000-MY-600_TuneCP5_13p6TeV_madgraph-pythia8	99000	2.94071e+14 	2.94071e+14
NMSSM-XtoYHto4B_Par-MX-1000-MY-800_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-1200-MY-60_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.12261e+14 	2.12261e+14
