Sample	 Entries 	 SumofLHEWeights 	 SumofGENWeights
NMSSM_XtoYHto4B_MX-650_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.45436e+14 	8.45436e+14
NMSSM_XtoYHto4B_MX-650_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	33000	8.03814e+14 	8.03814e+14
NMSSM_XtoYHto4B_MX-650_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.80847e+14 	6.80847e+14
NMSSM_XtoYHto4B_MX-650_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.99053e+14 	4.99053e+14
NMSSM_XtoYHto4B_MX-650_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.09593e+14 	2.09593e+14
NMSSM_XtoYHto4B_MX-700_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.74742e+14 	6.74742e+14
NMSSM_XtoYHto4B_MX-700_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.72345e+14 	6.72345e+14
NMSSM_XtoYHto4B_MX-700_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.70527e+14 	6.70527e+14
NMSSM_XtoYHto4B_MX-700_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.67908e+14 	6.67908e+14
NMSSM_XtoYHto4B_MX-700_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.66618e+14 	6.66618e+14
NMSSM_XtoYHto4B_MX-700_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.6492e+14 	6.6492e+14
NMSSM_XtoYHto4B_MX-700_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.56325e+14 	6.56325e+14
NMSSM_XtoYHto4B_MX-700_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.46032e+14 	6.46032e+14
NMSSM_XtoYHto4B_MX-700_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	33000	6.18921e+14 	6.18921e+14
NMSSM_XtoYHto4B_MX-700_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	33000	5.40519e+14 	5.40519e+14
NMSSM_XtoYHto4B_MX-700_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.27383e+14 	4.27383e+14
NMSSM_XtoYHto4B_MX-700_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.67352e+14 	2.67352e+14
NMSSM_XtoYHto4B_MX-800_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.01337e+14 	4.01337e+14
NMSSM_XtoYHto4B_MX-800_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	33000	4.00317e+14 	4.00317e+14
NMSSM_XtoYHto4B_MX-800_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.99192e+14 	3.99192e+14
NMSSM_XtoYHto4B_MX-800_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.98034e+14 	3.98034e+14
NMSSM_XtoYHto4B_MX-800_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.9741e+14 	3.9741e+14
NMSSM_XtoYHto4B_MX-800_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.97044e+14 	3.97044e+14
NMSSM_XtoYHto4B_MX-800_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.93021e+14 	3.93021e+14
NMSSM_XtoYHto4B_MX-800_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.88311e+14 	3.88311e+14
NMSSM_XtoYHto4B_MX-800_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.76638e+14 	3.76638e+14
NMSSM_XtoYHto4B_MX-800_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	33000	3.42009e+14 	3.42009e+14
NMSSM_XtoYHto4B_MX-800_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.93209e+14 	2.93209e+14
NMSSM_XtoYHto4B_MX-800_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.28111e+14 	2.28111e+14
NMSSM_XtoYHto4B_MX-800_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	33000	1.40812e+14 	1.40812e+14
NMSSM_XtoYHto4B_MX-900_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.48225e+14 	2.48225e+14
NMSSM_XtoYHto4B_MX-900_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.47796e+14 	2.47796e+14
NMSSM_XtoYHto4B_MX-900_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.47324e+14 	2.47324e+14
NMSSM_XtoYHto4B_MX-900_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	33000	2.46747e+14 	2.46747e+14
